EmployeeCode,Gender,EmployeeName,OfficialEmail,Username,EmployeeCount,Over18,StandardHours,Company,Industry,Country,Age,AgeGroup,DateOfBirth,MaritalStatus,Education,EducationField,State,City,PhoneNumber,Department,JobRole,BusinessTravel,WorkMode,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HireDate,MonthlyIncome,SalarySlab,SalaryHikePercent,StockOptionLevel,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TrainingTimesLastYear,NumCompaniesWorked,PromotionLast5Years,OverTime,Attrition
HRA240309,Female,Divya Bose,divya.bose@hrhub.co.in,divya.bose,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,24,18-25,2002-07-27,Married,PhD,Finance,Gujarat,Surat,9240150437,Marketing,Marketing Executive,Travel_Frequently,Work From Office,1.6,0,0,0,0,2027-05-28,31050,3-6 LPA,18,2,3,4,3,4,4,2,1.6,No,No,Yes
HRA240310,Male,Vikas Singh,vikas.singh@hrhub.co.in,vikas.singh,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,37,36-45,1989-07-30,Single,MBA,Marketing,Uttar Pradesh,Noida,9684978507,Marketing,Content Strategist,Non-Travel,Remote,7.7,2,1,0,0,2021-04-23,82050,6-10 LPA,8,2,3,4,4,3,3,0,1.0,No,No,No
HRA240311,Male,Harsh Mishra,harsh.mishra@hrhub.co.in,harsh.mishra,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,48,46-55,1978-08-02,Single,PhD,Finance,Kerala,Kozhikode,9927523710,Administration,Facility Coordinator,Travel_Rarely,Hybrid,26.0,11,9,5,6,2003-01-08,132500,10+ LPA,15,0,4,4,3,4,1,2,3.0,No,Yes,No
HRA240312,Female,Anjali Jain,anjali.jain@hrhub.co.in,anjali.jain,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,58,55+,1968-08-04,Single,Bachelor,Commerce,Telangana,Warangal,9197294103,IT,Network Engineer,Travel_Rarely,Remote,14.3,12,11,1,2,2014-09-18,129050,10+ LPA,13,0,2,1,4,1,2,0,3.0,No,No,No
HRA240313,Male,Raj Joshi,raj.joshi@hrhub.co.in,raj.joshi,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,44,36-45,1982-08-01,Married,MBA,Finance,Rajasthan,Udaipur,9737316927,Human Resources,Talent Acquisition Specialist,Travel_Rarely,Work From Office,21.3,2,0,0,1,2007-09-20,165250,10+ LPA,25,3,3,1,1,4,1,0,8.0,No,No,No
HRA240314,Female,Nikita Sharma,nikita.sharma@hrhub.co.in,nikita.sharma,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,22,18-25,2004-07-26,Married,Master,Computer Science,Maharashtra,Nagpur,9537007001,Administration,Office Administrator,Travel_Frequently,Work From Office,0.1,0,0,0,0,2028-11-26,19550,0-3 LPA,6,0,4,1,1,4,2,6,0.1,No,Yes,No
HRA240315,Female,Pooja Roy,pooja.roy@hrhub.co.in,pooja.roy,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,51,46-55,1975-08-03,Married,High School,General Education,Karnataka,Mysuru,9941163282,Operations,Operations Executive,Travel_Rarely,Work From Office,7.7,2,2,1,2,2021-04-23,75850,6-10 LPA,8,3,3,1,1,4,1,6,2.0,No,Yes,No
HRA240316,Female,Megha Khan,megha.khan@hrhub.co.in,megha.khan,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,20,18-25,2006-07-26,Divorced,PhD,Management,West Bengal,Durgapur,9182548057,Human Resources,Talent Acquisition Specialist,Non-Travel,Work From Office,0.0,0,0,0,0,2029-01-01,32800,3-6 LPA,9,3,3,3,2,2,1,5,0.0,No,No,No
HRA240317,Male,Sumit Gupta,sumit.gupta@hrhub.co.in,sumit.gupta,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,27,26-35,1999-07-28,Single,High School,General Education,Karnataka,Hubballi,9392031867,IT,Network Engineer,Travel_Rarely,Work From Office,1.0,1,0,0,0,2028-01-02,34100,3-6 LPA,6,2,3,2,1,4,4,3,1.0,No,No,No
HRA240318,Male,Shubham Ghosh,shubham.ghosh@hrhub.co.in,shubham.ghosh,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,56,55+,1970-08-04,Married,PhD,Management,Kerala,Kozhikode,9104716495,Sales,Sales Manager,Non-Travel,Remote,22.3,8,4,3,5,2006-09-20,210950,10+ LPA,8,1,3,4,1,3,2,2,2.0,No,No,No
HRA240319,Male,Raj Mukherjee,raj.mukherjee@hrhub.co.in,raj.mukherjee,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,31,26-35,1995-07-29,Single,Diploma,Computer,Telangana,Warangal,9548427494,IT,System Administrator,Travel_Rarely,Work From Office,0.6,0,0,0,0,2028-05-27,41850,3-6 LPA,12,3,3,3,3,2,2,1,0.6,No,No,No
HRA240320,Male,Ayush Kumar,ayush.kumar@hrhub.co.in,ayush.kumar,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,42,36-45,1984-07-31,Single,Diploma,Electrical,Rajasthan,Jodhpur,9657549203,Sales,Business Development Executive,Travel_Frequently,Work From Office,4.2,3,3,0,0,2024-10-21,52500,6-10 LPA,19,3,4,1,3,1,1,0,4.2,No,No,No
HRA240321,Male,Ayush Bose,ayush.bose@hrhub.co.in,ayush.bose,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,40,36-45,1986-07-31,Single,Bachelor,Information Technology,Rajasthan,Jaipur,9158765091,IT,Data Analyst,Non-Travel,Work From Office,12.1,0,0,0,0,2016-11-29,99000,10+ LPA,7,0,3,1,1,1,3,2,3.0,Yes,Yes,No
HRA240322,Male,Vivek Agarwal,vivek.agarwal@hrhub.co.in,vivek.agarwal,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,42,36-45,1984-07-31,Single,MBA,Human Resources,West Bengal,Howrah,9638082632,Sales,Sales Manager,Non-Travel,Work From Office,4.8,0,0,0,0,2024-03-16,75700,6-10 LPA,19,2,3,4,1,3,1,2,2.0,No,No,No
HRA240323,Male,Aarav Sinha,aarav.sinha@hrhub.co.in,aarav.sinha,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,42,36-45,1984-07-31,Married,Bachelor,Human Resources,Telangana,Hyderabad,9438381674,Operations,Supply Chain Coordinator,Travel_Rarely,Work From Office,12.5,5,2,0,2,2016-07-06,119200,10+ LPA,20,2,3,3,4,3,2,6,8.0,No,No,No
HRA240324,Female,Megha Verma,megha.verma@hrhub.co.in,megha.verma,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,56,55+,1970-08-04,Married,MBA,Marketing,West Bengal,Howrah,9554042100,Administration,Administrative Executive,Travel_Frequently,Work From Office,4.1,3,3,1,2,2024-11-27,44200,3-6 LPA,11,0,3,4,4,4,2,5,4.1,No,No,No
HRA240325,Female,Ishita Sharma,ishita.sharma@hrhub.co.in,ishita.sharma,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,18,18-25,2008-07-25,Single,PhD,Finance,West Bengal,Durgapur,9553952563,IT,Network Engineer,Travel_Frequently,Work From Office,0.0,0,0,0,0,2029-01-01,39700,3-6 LPA,6,0,3,1,1,1,4,2,0.0,No,No,No
HRA240326,Male,Nikhil Das,nikhil.das@hrhub.co.in,nikhil.das,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,36,36-45,1990-07-30,Married,PhD,Computer Science,Karnataka,Mysuru,9156944387,Marketing,Digital Marketing Specialist,Travel_Rarely,Remote,3.5,1,1,0,0,2025-07-04,48750,3-6 LPA,22,1,3,2,4,2,4,6,3.5,No,No,No
HRA240327,Female,Anjali Singh,anjali.singh@hrhub.co.in,anjali.singh,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,27,26-35,1999-07-28,Single,MBA,Marketing,Rajasthan,Udaipur,9878427751,Human Resources,HR Executive,Travel_Rarely,Work From Office,0.8,0,0,0,0,2028-03-15,27650,3-6 LPA,23,0,3,2,3,4,3,4,0.8,No,No,No
HRA240328,Male,Ayush Chatterjee,ayush.chatterjee@hrhub.co.in,ayush.chatterjee,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,23,18-25,2003-07-27,Single,Master,Business Administration,Gujarat,Surat,9026218060,Operations,Operations Executive,Travel_Frequently,Work From Office,0.3,0,0,0,0,2028-09-14,27250,3-6 LPA,7,3,4,4,1,2,1,6,0.3,No,Yes,No
HRA240329,Female,Anjali Saha,anjali.saha@hrhub.co.in,anjali.saha,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,60,55+,1966-08-05,Single,Bachelor,Human Resources,Gujarat,Surat,9430074577,IT,System Administrator,Travel_Rarely,Hybrid,35.0,22,3,8,6,1994-01-10,137950,10+ LPA,12,1,3,3,2,2,4,1,0.0,No,No,No
HRA240330,Female,Nikita Banerjee,nikita.banerjee@hrhub.co.in,nikita.banerjee,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,47,46-55,1979-08-02,Divorced,Diploma,Civil,Maharashtra,Pune,9666069508,Human Resources,Talent Acquisition Specialist,Travel_Rarely,Work From Office,1.2,1,1,0,0,2027-10-21,22800,0-3 LPA,13,3,3,1,3,1,2,5,1.2,Yes,No,No
HRA240331,Female,Ritika Kapoor,ritika.kapoor@hrhub.co.in,ritika.kapoor,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,50,46-55,1976-08-02,Married,Bachelor,Marketing,Telangana,Hyderabad,9001820871,IT,Data Analyst,Travel_Rarely,Work From Office,17.2,4,3,0,4,2011-10-25,139500,10+ LPA,23,1,3,1,4,2,1,3,5.0,Yes,No,No
HRA240332,Female,Vidya Kumar,vidya.kumar@hrhub.co.in,vidya.kumar,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,47,46-55,1979-08-02,Married,High School,General Education,Rajasthan,Jaipur,9867522624,Marketing,Marketing Executive,Travel_Rarely,Hybrid,16.0,5,4,0,3,2013-01-05,183750,10+ LPA,15,0,3,4,2,1,2,0,9.0,No,No,No
HRA240333,Male,Amit Jain,amit.jain@hrhub.co.in,amit.jain,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,38,36-45,1988-07-30,Single,PhD,Management,Telangana,Hyderabad,9559376511,Sales,Business Development Executive,Non-Travel,Work From Office,12.8,6,5,2,0,2016-03-18,109900,10+ LPA,24,0,3,4,1,3,3,4,3.0,No,No,No
HRA240334,Male,Harsh Chatterjee,harsh.chatterjee@hrhub.co.in,harsh.chatterjee,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,32,26-35,1994-07-29,Married,High School,General Education,Delhi,New Delhi,9607496875,IT,System Administrator,Travel_Frequently,Work From Office,7.7,4,2,2,1,2021-04-23,67200,6-10 LPA,20,1,3,2,1,2,3,2,7.7,No,No,No
HRA240335,Male,Vivek Kumar,vivek.kumar@hrhub.co.in,vivek.kumar,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,21,18-25,2005-07-26,Single,High School,General Education,Karnataka,Bengaluru,9465086569,Marketing,Digital Marketing Specialist,Travel_Frequently,Work From Office,0.0,0,0,0,0,2029-01-01,24150,0-3 LPA,14,0,2,2,2,3,1,0,0.0,No,No,No
HRA240336,Female,Pooja Verma,pooja.verma@hrhub.co.in,pooja.verma,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,42,36-45,1984-07-31,Single,Diploma,Mechanical,Telangana,Warangal,9039336777,Human Resources,HR Business Partner,Non-Travel,Work From Office,15.4,8,3,4,7,2013-08-12,180600,10+ LPA,8,1,4,1,1,2,3,0,9.0,No,No,No
HRA240337,Male,Rahul Sharma,rahul.sharma@hrhub.co.in,rahul.sharma,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,25,18-25,2001-07-27,Married,Master,Finance,West Bengal,Kolkata,9310666465,Administration,Facility Coordinator,Non-Travel,Work From Office,3.2,3,3,1,2,2025-10-21,48400,3-6 LPA,25,3,3,3,4,4,1,0,3.2,No,Yes,No
HRA240338,Female,Pooja Bose,pooja.bose@hrhub.co.in,pooja.bose,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,59,55+,1967-08-05,Married,High School,General Education,Kerala,Kozhikode,9239510832,Sales,Sales Manager,Travel_Frequently,Remote,14.9,13,6,4,10,2014-02-11,174650,10+ LPA,14,1,1,2,2,4,3,0,10.0,No,Yes,No
HRA240339,Male,Gaurav Chatterjee,gaurav.chatterjee@hrhub.co.in,gaurav.chatterjee,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,24,18-25,2002-07-27,Single,Diploma,Mechanical,Uttar Pradesh,Noida,9513352949,Human Resources,HR Business Partner,Travel_Rarely,Work From Office,3.0,3,0,0,2,2026-01-02,41500,3-6 LPA,23,3,2,3,2,4,4,3,1.0,Yes,No,No
HRA240340,Female,Nikita Das,nikita.das@hrhub.co.in,nikita.das,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,25,18-25,2001-07-27,Married,Diploma,Civil,Tamil Nadu,Madurai,9561431538,Operations,Operations Executive,Travel_Frequently,Work From Office,3.3,2,0,0,0,2025-09-15,35900,3-6 LPA,21,2,3,1,3,1,1,6,2.0,No,No,No
HRA240341,Male,Mohit Shah,mohit.shah@hrhub.co.in,mohit.shah,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,34,26-35,1992-07-29,Single,Diploma,Computer,Delhi,New Delhi,9134241471,Sales,Business Development Executive,Travel_Rarely,Work From Office,10.7,2,0,1,1,2018-04-24,129700,10+ LPA,14,1,4,2,1,1,1,3,2.0,No,Yes,No
HRA240342,Male,Varun Khan,varun.khan@hrhub.co.in,varun.khan,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,23,18-25,2003-07-27,Married,Bachelor,Computer Science,Uttar Pradesh,Kanpur,9963132404,Marketing,Digital Marketing Specialist,Non-Travel,Work From Office,0.8,0,0,0,0,2028-03-15,27750,3-6 LPA,7,2,3,1,4,3,4,6,0.8,No,No,No
HRA240343,Male,Pranav Patel,pranav.patel@hrhub.co.in,pranav.patel,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,41,36-45,1985-07-31,Married,Master,Marketing,Karnataka,Hubballi,9712199939,Sales,Sales Executive,Travel_Rarely,Hybrid,9.6,7,0,0,2,2019-05-30,63900,6-10 LPA,19,3,3,3,3,3,2,3,8.0,No,No,No
HRA240344,Male,Deepak Roy,deepak.roy@hrhub.co.in,deepak.roy,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,52,46-55,1974-08-03,Married,PhD,Computer Science,Telangana,Warangal,9659491868,Operations,Supply Chain Coordinator,Non-Travel,Work From Office,20.2,15,8,3,5,2008-10-25,124200,10+ LPA,23,1,2,4,4,1,2,3,5.0,No,No,No
HRA240345,Female,Khushi Khan,khushi.khan@hrhub.co.in,khushi.khan,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,48,46-55,1978-08-02,Married,Master,Human Resources,Delhi,New Delhi,9924643081,Finance,Accountant,Travel_Rarely,Work From Office,12.4,0,0,0,0,2016-08-11,99200,10+ LPA,17,2,3,3,1,3,3,2,10.0,No,Yes,No
HRA240346,Male,Sumit Mishra,sumit.mishra@hrhub.co.in,sumit.mishra,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,45,36-45,1981-08-01,Single,PhD,Management,Uttar Pradesh,Noida,9603828071,Administration,Office Administrator,Travel_Rarely,Work From Office,18.5,16,13,4,3,2010-07-08,161200,10+ LPA,19,1,3,4,4,2,2,6,9.0,No,Yes,No
HRA240347,Male,Raj Mukherjee,raj.mukherjee@hrhub.co.in,raj.mukherjee,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,45,36-45,1981-08-01,Married,Diploma,Computer,Rajasthan,Jodhpur,9825817386,Marketing,Marketing Executive,Non-Travel,Work From Office,4.3,1,0,0,0,2024-09-15,56050,6-10 LPA,25,1,3,4,2,3,2,0,4.3,No,Yes,No
HRA240348,Female,Sonali Mehta,sonali.mehta@hrhub.co.in,sonali.mehta,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,19,18-25,2007-07-26,Married,Diploma,Civil,West Bengal,Durgapur,9950867226,Operations,Supply Chain Coordinator,Travel_Rarely,Work From Office,0.0,0,0,0,0,2029-01-01,35800,3-6 LPA,22,3,4,2,4,1,1,4,0.0,No,No,No
HRA240349,Female,Ritika Sinha,ritika.sinha@hrhub.co.in,ritika.sinha,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,54,46-55,1972-08-03,Married,Diploma,Electrical,Maharashtra,Pune,9374062426,Administration,Office Administrator,Travel_Frequently,Work From Office,9.2,8,7,3,3,2019-10-24,62750,6-10 LPA,16,0,3,3,1,4,4,0,3.0,Yes,No,No
HRA240350,Female,Riya Ghosh,riya.ghosh@hrhub.co.in,riya.ghosh,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,34,26-35,1992-07-29,Married,Diploma,Civil,Uttar Pradesh,Lucknow,9685007284,Sales,Sales Executive,Travel_Rarely,Hybrid,4.6,0,0,0,0,2024-05-29,46700,3-6 LPA,13,2,3,3,1,3,1,2,4.6,No,No,No
HRA240351,Female,Neha Joshi,neha.joshi@hrhub.co.in,neha.joshi,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,32,26-35,1994-07-29,Married,Bachelor,Information Technology,Telangana,Warangal,9996107799,Operations,Operations Manager,Travel_Rarely,Work From Office,1.6,1,1,0,0,2027-05-28,72950,6-10 LPA,12,0,1,4,1,2,4,6,1.6,No,No,No
HRA240352,Female,Sonali Nair,sonali.nair@hrhub.co.in,sonali.nair,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,45,36-45,1981-08-01,Married,Diploma,Mechanical,Gujarat,Ahmedabad,9453869016,Marketing,Marketing Executive,Travel_Rarely,Remote,0.9,0,0,0,0,2028-02-08,28250,3-6 LPA,16,2,3,3,2,2,2,6,0.9,No,No,No
HRA240353,Male,Ayush Ghosh,ayush.ghosh@hrhub.co.in,ayush.ghosh,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,26,26-35,2000-07-27,Single,PhD,Finance,Kerala,Thiruvananthapuram,9413999517,IT,Data Analyst,Travel_Rarely,Work From Office,2.8,1,1,0,0,2026-03-17,53000,6-10 LPA,16,3,3,1,1,4,2,3,1.0,No,Yes,Yes
HRA240354,Female,Khushi Banerjee,khushi.banerjee@hrhub.co.in,khushi.banerjee,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,50,46-55,1976-08-02,Married,High School,General Education,Delhi,New Delhi,9699382145,Finance,Finance Executive,Travel_Rarely,Remote,15.1,12,2,4,9,2013-11-30,140450,10+ LPA,25,1,3,1,3,2,1,4,5.0,Yes,No,Yes
HRA240355,Male,Vikas Chatterjee,vikas.chatterjee@hrhub.co.in,vikas.chatterjee,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,54,46-55,1972-08-03,Single,PhD,Management,Maharashtra,Pune,9858965498,Administration,Facility Coordinator,Non-Travel,Work From Office,0.5,0,0,0,0,2028-07-03,25500,3-6 LPA,7,1,4,1,3,3,4,2,0.5,No,No,No
HRA240356,Male,Aarav Sinha,aarav.sinha@hrhub.co.in,aarav.sinha,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,21,18-25,2005-07-26,Married,Master,Computer Science,Kerala,Kozhikode,9446150123,Human Resources,HR Executive,Travel_Rarely,Work From Office,0.0,0,0,0,0,2029-01-01,27250,3-6 LPA,5,2,3,4,4,3,4,4,0.0,No,No,No
HRA240357,Male,Sahil Chatterjee,sahil.chatterjee@hrhub.co.in,sahil.chatterjee,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,56,55+,1970-08-04,Single,Bachelor,Information Technology,Uttar Pradesh,Lucknow,9990352196,Sales,Sales Executive,Travel_Rarely,Work From Office,15.9,8,7,0,4,2013-02-11,137350,10+ LPA,25,1,2,1,1,1,2,3,10.0,No,No,No
HRA240358,Female,Harini Saha,harini.saha@hrhub.co.in,harini.saha,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,53,46-55,1973-08-03,Single,Diploma,Electrical,Maharashtra,Nagpur,9831452378,Sales,Sales Executive,Travel_Rarely,Work From Office,25.6,23,5,8,14,2003-06-03,145500,10+ LPA,9,2,3,4,4,4,1,5,10.0,No,No,Yes
HRA240359,Male,Varun Kumar,varun.kumar@hrhub.co.in,varun.kumar,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,53,46-55,1973-08-03,Married,Bachelor,Human Resources,Delhi,New Delhi,9575015438,Operations,Supply Chain Coordinator,Non-Travel,Work From Office,17.3,17,1,7,14,2011-09-19,164950,10+ LPA,24,0,3,1,3,1,3,2,6.0,No,No,No
HRA240360,Female,Kavya Chatterjee,kavya.chatterjee@hrhub.co.in,kavya.chatterjee,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,47,46-55,1979-08-02,Single,High School,General Education,Gujarat,Surat,9266688545,Operations,Operations Manager,Travel_Rarely,Hybrid,17.8,7,7,3,6,2011-03-20,203150,10+ LPA,24,2,3,1,2,2,3,2,2.0,No,No,No
HRA240361,Female,Divya Ghosh,divya.ghosh@hrhub.co.in,divya.ghosh,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,42,36-45,1984-07-31,Married,Bachelor,Marketing,Tamil Nadu,Madurai,9186146288,Finance,Financial Analyst,Travel_Rarely,Work From Office,19.7,11,3,1,1,2009-04-26,171100,10+ LPA,7,1,2,2,3,4,1,6,1.0,No,No,Yes
HRA240362,Female,Riya Gupta,riya.gupta@hrhub.co.in,riya.gupta,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,37,36-45,1989-07-30,Single,MBA,Marketing,Uttar Pradesh,Lucknow,9239176196,Marketing,Marketing Executive,Non-Travel,Work From Office,8.7,8,4,1,1,2020-04-23,62650,6-10 LPA,20,2,1,4,3,4,3,0,7.0,No,No,No
HRA240363,Female,Anusha Sharma,anusha.sharma@hrhub.co.in,anusha.sharma,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,49,46-55,1977-08-02,Single,Bachelor,Finance,Uttar Pradesh,Kanpur,9906183442,Human Resources,HR Executive,Travel_Rarely,Work From Office,8.9,5,2,0,4,2020-02-10,84300,10+ LPA,9,2,2,2,4,2,3,4,4.0,Yes,No,No
HRA240364,Male,Sumit Mukherjee,sumit.mukherjee@hrhub.co.in,sumit.mukherjee,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,21,18-25,2005-07-26,Married,PhD,Finance,Telangana,Warangal,9914453375,Sales,Sales Executive,Travel_Rarely,Hybrid,0.0,0,0,0,0,2029-01-01,32850,3-6 LPA,14,0,3,4,2,2,4,3,0.0,No,No,Yes
HRA240365,Female,Anjali Saha,anjali.saha@hrhub.co.in,anjali.saha,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,49,46-55,1977-08-02,Married,High School,General Education,Uttar Pradesh,Lucknow,9957145149,Human Resources,HR Executive,Travel_Rarely,Hybrid,18.2,10,8,1,8,2010-10-25,156400,10+ LPA,11,3,3,4,2,4,4,5,1.0,No,No,No
HRA240366,Male,Raj Patel,raj.patel@hrhub.co.in,raj.patel,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,22,18-25,2004-07-26,Single,MBA,Human Resources,Rajasthan,Jaipur,9723099070,Sales,Sales Manager,Travel_Frequently,Work From Office,0.3,0,0,0,0,2028-09-14,62750,6-10 LPA,13,2,3,1,1,1,4,1,0.3,Yes,Yes,No
HRA240367,Female,Ishita Shah,ishita.shah@hrhub.co.in,ishita.shah,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,26,26-35,2000-07-27,Married,Master,Finance,West Bengal,Kolkata,9736950432,Operations,Operations Manager,Non-Travel,Work From Office,0.2,0,0,0,0,2028-10-20,61900,6-10 LPA,18,2,3,2,1,3,2,4,0.2,No,No,No
HRA240368,Male,Ayush Sen,ayush.sen@hrhub.co.in,ayush.sen,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,60,55+,1966-08-05,Single,MBA,Operations,Tamil Nadu,Chennai,9606009897,Finance,Financial Analyst,Travel_Rarely,Work From Office,12.3,4,1,0,3,2016-09-17,104800,10+ LPA,7,0,3,4,3,4,3,5,0.0,No,No,No
HRA240369,Female,Khushi Verma,khushi.verma@hrhub.co.in,khushi.verma,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,29,26-35,1997-07-28,Married,High School,General Education,West Bengal,Durgapur,9922384357,Marketing,Content Strategist,Travel_Rarely,Work From Office,2.6,2,1,1,2,2026-05-28,41750,3-6 LPA,15,0,3,3,4,3,2,4,2.6,No,No,No
HRA240370,Female,Anusha Ghosh,anusha.ghosh@hrhub.co.in,anusha.ghosh,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,50,46-55,1976-08-02,Married,MBA,Human Resources,Telangana,Hyderabad,9836766570,Finance,Accountant,Travel_Frequently,Work From Office,3.7,0,0,0,0,2025-04-22,55100,6-10 LPA,11,2,2,3,3,2,3,2,3.7,No,No,No
HRA240371,Female,Sneha Patel,sneha.patel@hrhub.co.in,sneha.patel,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,51,46-55,1975-08-03,Married,Diploma,Computer,Rajasthan,Jaipur,9825254309,Sales,Sales Executive,Non-Travel,Hybrid,28.0,10,2,0,5,2001-01-08,131150,10+ LPA,11,2,3,4,1,4,2,5,4.0,No,No,No
HRA240372,Female,Pooja Chatterjee,pooja.chatterjee@hrhub.co.in,pooja.chatterjee,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,19,18-25,2007-07-26,Married,PhD,Computer Science,Maharashtra,Mumbai,9022123955,Administration,Office Administrator,Travel_Rarely,Hybrid,0.0,0,0,0,0,2029-01-01,27100,3-6 LPA,16,2,2,2,2,4,2,5,0.0,No,No,Yes
HRA240373,Female,Kavya Khan,kavya.khan@hrhub.co.in,kavya.khan,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,30,26-35,1996-07-28,Married,High School,General Education,Maharashtra,Pune,9519678778,Marketing,Marketing Executive,Travel_Frequently,Remote,6.1,5,2,2,0,2022-11-28,61300,6-10 LPA,18,2,2,2,4,2,3,2,4.0,No,No,No
HRA240374,Female,Vidya Reddy,vidya.reddy@hrhub.co.in,vidya.reddy,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,30,26-35,1996-07-28,Single,Bachelor,Finance,Karnataka,Hubballi,9732381545,Human Resources,HR Executive,Travel_Rarely,Remote,5.0,3,3,0,3,2024-01-03,54800,6-10 LPA,10,1,3,3,1,2,1,4,5.0,No,No,No
